province,city,district,jingdu,weidu
重庆市,重庆市,万州区,108.408661,30.807667
重庆市,重庆市,沙坪坝区,106.456878,29.541145
重庆市,重庆市,合川区,106.276130,29.972084
重庆市,重庆市,綦江区,106.651362,29.028067
重庆市,重庆市,潼南区,105.840556,30.191013
重庆市,重庆市,开州区,108.393135,31.160711
重庆市,重庆市,奉节县,109.463987,31.018498
重庆市,重庆市,巫溪县,109.570062,31.398604
重庆市,重庆市,江北区,106.574271,29.606703
重庆市,重庆市,渝北区,106.562600,29.667400
天津市,天津市,南开区,117.150738,39.138203
上海市,上海市,黄浦区,121.469240,31.229860
上海市,上海市,长宁区,121.424624,31.220367
上海市,上海市,松江区,121.227747,31.032243
湖北省,[],天门市,113.166558,30.66372
湖北省,[],仙桃市,113.442973,30.328407
湖北省,[],潜江市,112.900287,30.401947
湖北省,[],神农架林区,110.675757,31.744897
新疆维吾尔自治区,乌鲁木齐市,新市区,87.575443,43.837498
天津市,天津市,宝坻区,117.309863,39.717379
海南省,[],澄迈县,110.006755,19.738521
海南省,[],昌江黎族自治县,109.055724,19.298062
北京市,北京市,东城区,116.416357,39.928353
北京市,北京市,西城区,116.365868,39.912289
北京市,北京市,海淀区,116.329519,39.972134
北京市,北京市,丰台区,116.287149,39.858427
北京市,北京市,大兴区,116.341014,39.784747
北京市,北京市,密云区,116.843177,40.376834
上海市,上海市,普陀区,121.395555,31.249840
上海市,上海市,徐汇区,121.437866,31.199190
上海市,上海市,闵行区,121.381709,31.112813
天津市,天津市,河北区,117.196648,39.147869
天津市,天津市,北辰区,117.139343,39.217817
天津市,天津市,宝坻区,117.309863,39.717379
重庆市,重庆市,万州区,108.408661,30.807667
重庆市,重庆市,忠县,108.039002,30.299560
重庆市,重庆市,云阳县,108.697324,30.930613
重庆市,重庆市,开州区,108.393135,31.160711
重庆市,重庆市,巫溪县,109.570062,31.398604
重庆市,重庆市,南岸区,106.644428,29.500297
重庆市,重庆市,綦江区,106.651362,29.028067
重庆市,重庆市,渝北区,106.562600,29.667400
重庆市,重庆市,梁平区,107.769581,30.654230
海南省,[],万宁市,110.391073,18.795143
